Rank,Name,Symbol,marketcap,price (SGD),country,ticker,cik
1,NVIDIA,NVDA,5698270633140.0,234.44849328995,United States,NVDA,0001045810
2,Apple,AAPL,4812302126792.5,327.41370887756,United States,AAPL,0000320193
3,Alphabet (Google),GOOG,4695538918140.0,388.15729851723,United States,GOOG,0001288776
3,Alphabet (Google),GOOG,4695538918140.0,388.15729851723,United States,GOOG,0001652044
4,Microsoft,MSFT,3823549928208.8,514.44507761002,United States,MSFT,0000789019
5,Amazon,AMZN,2879448151360.0,268.23191437721,United States,AMZN,0001018724
6,TSMC,TSM,2235604788801.2,431.04265685081,Taiwan,TSM,0001062195
7,Meta Platforms (Facebook),META,2066577209780.6,816.9724770546,United States,META,0001326801
8,Broadcom,AVGO,2039199747919.4,430.09533848763,United States,AVGO,0001317092
8,Broadcom,AVGO,2039199747919.4,430.09533848763,United States,AVGO,0001441634
8,Broadcom,AVGO,2039199747919.4,430.09533848763,United States,AVGO,0001649338
8,Broadcom,AVGO,2039199747919.4,430.09533848763,United States,AVGO,0001730168
9,Tesla,TSLA,1897514729790.0,505.67598195076,United States,TSLA,0001318605
10,Samsung,005930.KS,1052569608237.4,157.42638972282,South Korea,,
11,Tencent,TCEHY,799853718735.0,88.663878154755,China,,
12,ASML,ASML,679393188573.12,1730.2385855675,Netherlands,,
13,Oracle,ORCL,585596789749.84,203.7502576828,United States,ORCL,0000777676
13,Oracle,ORCL,585596789749.84,203.7502576828,United States,ORCL,0001341439
14,Micron Technology,MU,584041221636.25,518.91283583641,United States,MU,0000723125
15,SK Hynix,000660.KS,539038723804.68,780.70042502403,South Korea,,
16,Netflix,NFLX,512131296606.88,120.73188490868,United States,NFLX,0001065280
17,Palantir,PLTR,469975161623.28,196.50455236435,United States,PLTR,0001321655
18,AMD,AMD,412720330079.69,253.13882856369,United States,AMD,0000002488
19,Alibaba,BABA,410151459284.22,171.7974653244,China,,
20,Cisco,CSCO,393211484867.03,99.519634532928,United States,CSCO,0000858877
21,Applied Materials,AMAT,342648620682.97,431.75954642296,United States,AMAT,0000006951
22,Lam Research,LRCX,336843020506.25,268.1807079792,United States,LRCX,0000707549
23,IBM,IBM,297422584632.66,317.07001647949,United States,IBM,0000051143
24,Intel,INTC,289356894958.75,57.9272377491,United States,INTC,0000050863
25,SAP,SAP,286769231333.28,243.87047052383,Germany,,
26,Salesforce,CRM,239038316590.55,255.11027488708,United States,CRM,0001108524
27,KLA,KLAC,237094181547.73,1804.4750610828,United States,KLAC,0000319201
28,Texas Instruments,TXN,221510646753.05,243.29439854622,United States,TXN,0000097476
29,Arista Networks,ANET,216067941157.42,171.57983813286,United States,ANET,0001017172
29,Arista Networks,ANET,216067941157.42,171.57983813286,United States,ANET,0001474439
29,Arista Networks,ANET,216067941157.42,171.57983813286,United States,ANET,0001596532
30,Shopify,SHOP,210794203238.67,161.51778092384,Canada,SHOP,0001108482
31,Schneider Electric,SU.PA,210580636436.7,374.55047840595,France,,
32,AppLovin,APP,194396536201.48,575.21427044868,United States,APP,0001336545
32,AppLovin,APP,194396536201.48,575.21427044868,United States,APP,0001751008
33,Uber,UBER,194096941576.8,93.413271570206,United States,UBER,0001543151
34,Analog Devices,ADI,192037427786.41,393.35474791527,United States,ADI,0000006281
35,PDD Holdings (Pinduoduo),PDD,184681607901.95,130.08985414505,China,,
36,QUALCOMM,QCOM,179317261695.7,167.89297747612,United States,QCOM,0000804328
37,Palo Alto Networks,PANW,175619919212.19,215.2204908371,United States,PANW,0001327567
38,Booking Holdings (Booking.com),BKNG,174041436849.96,5399.3434237957,United States,BKNG,0001075531
39,Sony,SONY,163136519707.93,27.472232532501,Japan,,
40,Arm Holdings,ARM,156508869550.62,147.37201347351,United Kingdom,ARM,0001113256
41,Intuit,INTU,155008683655.35,557.03599915504,United States,INTU,0000896878
42,ServiceNow,NOW,152594434224.57,144.61966958046,United States,NOW,0000760436
42,ServiceNow,NOW,152594434224.57,144.61966958046,United States,NOW,0001373715
43,Delta Electronics,2308.TW,143966879932.83,55.424269014359,Taiwan,,
44,CrowdStrike,CRWD,143353301274.69,565.24182443619,United States,CRWD,0001417900
44,CrowdStrike,CRWD,143353301274.69,565.24182443619,United States,CRWD,0001535527
45,Xiaomi,XIACF,142641659170.35,5.5046877861023,China,,
46,Adobe,ADBE,141770917722.3,345.36155138016,United States,ADBE,0000796343
47,Tokyo Electron,8035.T,141175627475.29,307.97319987297,Japan,,
48,Advantest,6857.T,137993667908.17,189.97317629814,Japan,,
